Design_ID,ATP_Production,ROS_Accumulation,Oxygen_Consumption,Lifespan_Index,Performance_Score
MitoDesign_239,171.57761616910477,11.702266283599815,310.03039162537243,73.15507568210509,0.708746537907307
MitoDesign_235,142.89935427002567,14.487239848868786,289.8506727778856,89.76936261994886,0.6791196373742493
MitoDesign_148,147.52341678431773,10.50071676980161,285.09449162302684,82.06393061530035,0.6786972602942382
MitoDesign_027,142.64822607863272,3.8475018592885846,261.4346156289962,89.07418254808414,0.6715485903571914
MitoDesign_122,140.65477826005156,9.812564235038431,303.16610120529725,78.6080431312993,0.6680640970809577
MitoDesign_221,149.2945026583278,9.697448695048905,280.8679484259338,77.87752120661604,0.6668820979921952
MitoDesign_135,153.06364915023113,6.369953221128715,232.15266267140882,87.70478159983347,0.6586638760508223
MitoDesign_184,129.43141901908712,14.97305637609086,335.6908143444746,81.89201315060961,0.6565707360089317
MitoDesign_074,126.27019272001277,7.498043810806494,313.098131190539,85.15939501555553,0.6555222989043376
MitoDesign_240,132.39149822869155,14.482688390202712,284.0088696845397,92.60807770837549,0.6498358148139503
MitoDesign_181,151.21495849763974,13.231207075568237,270.91341952142,78.45319939917685,0.6474652511901493
MitoDesign_045,152.66066749312535,12.72746502023398,277.27565958505244,70.0829749074373,0.6446266015876634
MitoDesign_255,140.46248154539313,7.6757738383669505,279.3056030886232,75.07742758950313,0.6441904462013409
MitoDesign_277,120.01834375248761,13.068201063477035,346.136623409531,78.45610499917667,0.6387179266285181
MitoDesign_194,124.35084511591924,5.1896655830486385,275.8878375881096,89.92580909479962,0.6364519184233771
