Design_ID,ATP_Production,ROS_Accumulation,Oxygen_Consumption,Membrane_Potential,Lifespan_Index,Performance_Score
MitoDesign_055,125.61999044991902,14.923935168389244,320.06759311374515,148.35697643214863,89.82135193978634,0.725582195551817
MitoDesign_267,137.64822607863272,6.847501859288585,240.00528867537167,177.68545637021037,93.35923603481125,0.7238026920168008
MitoDesign_254,125.64930521102293,16.017683373204854,271.6155785887643,123.53820413185004,100.81346491344316,0.7194753507286931
MitoDesign_180,159.40338333179238,19.478299645738307,251.72352341427373,167.00443484226986,94.60807770837549,0.7153563749573005
MitoDesign_227,106.28560038190926,8.48983024846735,285.28502510057496,156.05270930478068,96.44965703952258,0.7146263044448209
MitoDesign_092,124.37289981065778,16.967676686026024,270.57654311774866,109.16530263151418,99.94399613946233,0.7032832337382608
MitoDesign_163,128.17191158014808,12.201097968029657,319.60295883940785,172.97531400744208,80.95664294731323,0.6963023943591081
MitoDesign_276,114.24206948526542,6.1554587639684595,292.8095252231226,144.38649846266452,85.18624347075087,0.6923267288617231
MitoDesign_010,115.8512008717193,14.191229390264423,282.3615509021214,193.2650944661092,93.99661394549551,0.6810232614194467
MitoDesign_214,118.02782502611596,11.369745351833608,236.8794171779051,159.9136377594521,97.32001875920866,0.6644953294245809
MitoDesign_165,124.26752258488644,14.55068780123668,270.22456641999867,142.75118117193736,89.57257201331593,0.6564653979948127
MitoDesign_221,151.29317133347018,8.322378875514513,211.894904246487,172.11051865915968,84.30636863239707,0.6553415906757389
MitoDesign_210,182.05462981309444,11.676199534355849,198.68874442231737,188.28062707733574,77.99333586835962,0.6528750624538603
MitoDesign_299,121.2572423767792,13.222826959695553,272.2278138277925,154.47828268129322,88.1925002064917,0.6523902474655503
MitoDesign_203,126.66102486350553,9.405729704723434,233.3642271929344,191.76749409561455,89.48563323730397,0.6472024283814377
