Design_ID,ATP_Production,ROS_Accumulation,Oxygen_Consumption,Membrane_Potential,Lifespan_Index,Transcriptomics,Proteomics,Metabolomics,Performance_Score
MitoDesign_210,182.05462981309444,21.785825473160152,291.23518601154285,130.50941390658716,79.99433124338684,625.0730687065686,322.56126596592543,201.57788192962957,0.6452746804512969
MitoDesign_252,123.35723894109552,9.593261577534665,259.17351365631237,163.55750639061816,92.08923944197878,625.8415780171886,314.90792329952626,213.1642711484052,0.6421954561867318
MitoDesign_422,140.10681684886407,10.893938802355759,267.53775680584306,164.95820512235068,89.35671993942219,559.6004250301825,296.1389477388477,208.96938978141168,0.6404452358181697
MitoDesign_492,134.59888277780053,6.8330605263028374,319.5369749983888,165.0858265962715,74.48217780748661,548.1694656313987,289.3271610324781,181.1494503718992,0.6378076936478276
MitoDesign_007,136.58425631014782,12.630424303044524,261.3317627009706,163.9277489491343,80.0096438028978,735.927554024698,324.3018144708818,212.91898014470672,0.6318881733196485
MitoDesign_021,134.31297537843108,8.322378875514513,248.29924208124248,174.42067391050705,80.47946104213062,514.016913512681,360.01308748694146,220.10979229963257,0.6248306948348487
MitoDesign_136,135.9986881003508,8.380573312536923,263.7430508900925,141.92703073516006,75.4111858168248,585.7234521787909,322.1501065223688,210.67273585181607,0.6197100827461152
MitoDesign_234,91.96799304788365,8.189665583048638,320.28982681790114,143.93640434331448,87.14077870639447,429.61485171983566,395.57095435698614,205.80254983837526,0.6184238206222183
MitoDesign_496,115.77820087369318,13.87559882845618,300.2132510855693,171.40300476632854,86.50564149398382,506.198441481509,396.75770200301145,201.13830324732635,0.6149917231836359
MitoDesign_441,112.68130897878615,9.878782405316421,253.20084440335944,156.16101079008206,93.99667123364337,579.7256408463558,307.276059888412,215.16612474904497,0.6124603224949458
MitoDesign_479,166.57761616910477,8.664388706057107,198.9377737769265,134.54244664352782,69.29115360221401,543.4783502936075,357.6795171658463,222.72412820514586,0.6122312396124294
MitoDesign_193,109.28187488260409,10.67574668960041,208.95213246170752,167.42594594914488,96.19447698629482,496.8554169897895,414.0825918269421,248.72778847017025,0.6095882649485174
MitoDesign_165,124.26752258488644,12.148616869291342,265.7899651203374,175.93989093122218,92.64432549254698,537.0565033679298,242.2818665883508,247.70940661665657,0.6066327282660171
MitoDesign_483,72.87107359484855,11.132095427483147,290.4437347931692,137.4656555082007,95.94012282534494,558.5993682223842,281.93447190163545,326.0822693804834,0.6042495870605543
MitoDesign_324,146.8477455137092,13.548645758241364,247.02755753391708,136.9999483835308,93.3959394667803,387.584812255714,312.89879906105904,207.30004122396855,0.6039809061786204
MitoDesign_312,126.9755370397438,13.2410757669033,258.62182047201003,152.935860239711,94.36169084729858,449.15537268764774,322.47369564161534,216.80766171579967,0.6016939596767155
MitoDesign_068,125.07065795784048,10.967654756330383,270.6289375582482,160.318784354082,78.92576670250956,552.0908993458926,300.9200815391719,242.97272050862244,0.599044702294684
MitoDesign_121,120.82063894086093,11.838102178218753,268.69340765352945,152.26540821075528,99.30092337290333,556.3605231859779,275.82192580767315,145.08562194075745,0.5957030323893786
MitoDesign_249,140.30908480562192,12.553928788032207,238.18250691267616,153.79163233197488,78.48703687378374,530.9058654249247,311.449819622967,257.1543083125427,0.5940837504466231
MitoDesign_388,142.52341678431773,13.562831636851762,284.65289188543983,158.4812208892818,72.60613484585356,611.0670222566758,303.9071531484824,193.51504098080565,0.5932693523356497
