Group,ATP,ROS,OCR,Lifespan,Transcriptomics,Proteomics,Metabolomics,Performance_Score
Synthetic MitoTALEN,150.58199285668252,10.871504802685223,263.69102606394074,95.71054976283938,1.9012185776318247,1.7592255364954597,1.6416732461186285,0.9014509306541924
Synthetic MitoTALEN,129.28307097207647,11.625711469990902,279.7145999135973,93.93693025782376,2.017912728403723,1.5369449759820364,1.4651592633164332,0.8432129752812417
Synthetic MitoTALEN,133.0712259663731,10.052907600591062,269.52715538712437,90.52735079583313,1.712041981499776,1.8639490058366617,1.4784831934357534,0.8365239304661723
Synthetic MitoTALEN,118.46233661351181,10.808677411913015,287.48876186341636,77.32162893010653,2.127549706731999,1.6084085213599078,1.444647782825832,0.8348104215774405
Synthetic MitoTALEN,140.01333651955485,11.354640322315728,254.98333967089906,94.6409707092453,1.611246001880132,1.518383165812241,1.8330004689802166,0.8340484653461123
Synthetic MitoTALEN,127.825799504883,11.502617747632906,292.14691152039984,90.45487475819125,1.6469755572099636,1.5494321903001118,1.634694771497065,0.8276862974331285
Synthetic MitoTALEN,132.93488720552213,8.502936053523639,286.08680485756304,79.68754005982163,1.7065092408683316,1.6190057705241374,1.1818067139569601,0.820808126087879
Synthetic MitoTALEN,136.6187830260819,10.145293731618851,264.7673796546957,92.87598814891214,1.600218833987969,1.4784372424898116,1.6002092185134282,0.8173389526081588
Synthetic MitoTALEN,125.21271576736062,12.617666025197927,294.0442988927048,89.20376589744284,2.020336622836079,1.5348264468447317,1.0478474481688362,0.8169482860225462
Synthetic MitoTALEN,120.34689543219946,11.788103291391728,312.8868669403407,80.48514835802423,1.5507479322989146,1.5201539757648148,1.6171572649878694,0.8143087281433389
Synthetic MitoTALEN,129.89187130147664,13.26944293712354,282.19399683912445,90.04909328464257,1.4517484690762914,1.5508860551804096,1.779976386979043,0.8121084193753888
Synthetic MitoTALEN,139.1093237974627,11.802823735431476,260.37699245889695,91.54107211628279,1.5466432262527003,1.5929704950869867,1.4574248330403647,0.8095297845524759
Synthetic MitoTALEN,143.73297776217547,14.160096131429297,251.05356208682497,94.40508180867556,1.5135711021054807,1.5779160512683328,1.496946563458895,0.8084333237897677
Synthetic MitoTALEN,143.54092566334188,14.442067391050706,271.64195406937233,86.86757950575084,1.3081121526553041,1.394168983589342,1.6177497239408372,0.8052378640609804
Synthetic MitoTALEN,145.62524919243145,9.864934171491454,260.4843891334552,95.06110277707714,1.484071721750857,1.51785576943746,1.187521294370624,0.8030512195351522
Synthetic MitoTALEN,140.98647170504717,13.121838895882478,254.0903936394168,91.48477202255368,1.433236102048798,1.6259686956379962,1.4739284384396187,0.798812164485279
Synthetic MitoTALEN,122.53937511870052,10.313506809367617,303.4188543499563,87.12057093783832,1.5246409613568972,1.53272280640607,1.4087204892744907,0.7982200520869451
Synthetic MitoTALEN,147.31300146192632,13.276102202881514,270.01688949888916,78.99471132923631,1.3914652400531957,1.3318324372137642,1.2758304803497766,0.7981535117490682
Synthetic MitoTALEN,122.08188731084456,8.873618382606686,277.6621955429432,87.610814014936,1.463904017281875,1.928966135176729,1.459750581673137,0.7941920161991979
Synthetic MitoTALEN,134.52874547202939,15.22455651597729,286.2982890716809,96.19982264685697,1.6484254982143784,1.4613150458352389,1.0796068376205663,0.7940095617073402
